card_id,name_ko,name_en,source,index,text_en,rule,confidence,score_low,score_baseline,score_high,basis
ABRASIVE,연마,Abrasive,clause,1,Gain 1 Dexterity.,atomic_fixed,high,3.25,3.25,3.25,v3 quantified/scenario rule
ABRASIVE,연마,Abrasive,clause,2,Gain 4 Thorns.,atomic_fixed,medium,2.0,2.0,2.0,v3 quantified/scenario rule
ABRASIVE,연마,Abrasive,keyword,,keyword_sly,keyword_sly,low,0.0,4.4,8.0,discard-trigger probability and free cost
ACCELERANT,촉진제,Accelerant,clause,1,Poison is triggered 1 additional time.,extra_poison_trigger,low,2.0,6.0,15.0,existing Poison stack
ACCURACY,정밀,Accuracy,clause,1,Shivs deal 4 additional damage.,shiv_damage_aura,low,2.0,8.0,20.0,future Shiv count
ACROBATICS,곡예,Acrobatics,clause,1,Draw 3 cards.,atomic_fixed,medium,5.55,5.55,5.55,v3 quantified/scenario rule
ACROBATICS,곡예,Acrobatics,clause,2,Discard 1 card.,atomic_fixed,high,0.25,0.25,0.25,v3 quantified/scenario rule
ADAPTIVE_STRIKE,적응형 타격,Adaptive Strike,clause,1,Deal 18 damage.,atomic_fixed,high,9.0,9.0,9.0,v3 quantified/scenario rule
ADAPTIVE_STRIKE,적응형 타격,Adaptive Strike,clause,2,Add a 0 Energy copy of this card into your Discard Pile.,copy_self_discard_zero,low,-0.5,4.0,9.0,future self-copy; deck clog included in lower bound
ADRENALINE,아드레날린,Adrenaline,clause,1,Gain 1 Energy.,atomic_fixed,medium,2.5,2.5,2.5,v3 quantified/scenario rule
ADRENALINE,아드레날린,Adrenaline,clause,2,Draw 2 cards.,atomic_fixed,medium,3.4,3.4,3.4,v3 quantified/scenario rule
ADRENALINE,아드레날린,Adrenaline,keyword,,keyword_exhaust,keyword_exhaust,medium,-1.0,-1.0,-1.0,v1 keyword calibration
AFTERIMAGE,잔상,Afterimage,clause,1,"Whenever you play a card, gain 1 Block.",atomic_fixed+event_triggers,medium,0.6,2.1,10.8,v3 quantified/scenario rule
AFTERLIFE,내세,Afterlife,clause,1,Summon 6.,atomic_fixed,high,6.6,6.6,6.6,v3 quantified/scenario rule
AFTERLIFE,내세,Afterlife,keyword,,keyword_exhaust,keyword_exhaust,medium,-1.0,-1.0,-1.0,v1 keyword calibration
AGGRESSION,공격성,Aggression,clause,1,"At the start of your turn, put a random Attack from your Discard Pile into your Hand and Upgrade it.",recurring_upgraded_attack_retrieval,low,3.0,12.0,24.0,random retrieval plus upgrade across active turns
ALCHEMIZE,연금,Alchemize,clause,1,Procure a random potion.,meta_random_potion,low,3.0,7.0,12.0,potion slot and quality
ALCHEMIZE,연금,Alchemize,keyword,,keyword_exhaust,keyword_exhaust,medium,-1.0,-1.0,-1.0,v1 keyword calibration
ALIGNMENT,정렬,Alignment,clause,1,Gain 2 Energy.,atomic_fixed,medium,5.0,5.0,5.0,v3 quantified/scenario rule
ALIGNMENT,정렬,Alignment,printed_cost,,Spend 3 Stars to play this card,cost_star_spend,low,-6.0,-6.0,-6.0,printed Star payment: 3 × -2.0
ALL_FOR_ONE,하나를 위한 모두,All for One,clause,1,Deal 10 damage.,atomic_fixed,high,5.0,5.0,5.0,v3 quantified/scenario rule
ALL_FOR_ONE,하나를 위한 모두,All for One,clause,2,Put ALL 0 Energy cards from your Discard Pile into your Hand.,bulk_tutor_to_hand,low,3.0,7.0,14.0,selected/bulk card access
ANGER,분노,Anger,clause,1,Deal 6 damage.,atomic_fixed,high,3.0,3.0,3.0,v3 quantified/scenario rule
ANGER,분노,Anger,clause,2,Add a copy of this card into your Discard Pile.,atomic_copy_self_discard,low,-0.5,0.5,2.5,v3 quantified/scenario rule
ANOINTED,임명,Anointed,clause,1,Put every Rare card from your Draw Pile into your Hand.,bulk_tutor_to_hand,low,3.0,7.0,14.0,selected/bulk card access
ANOINTED,임명,Anointed,keyword,,keyword_exhaust,keyword_exhaust,medium,-1.0,-1.0,-1.0,v1 keyword calibration
ANTICIPATE,예측,Anticipate,clause,1,Gain 2 Dexterity this turn.,atomic_temporary_stat,high,1.6,1.6,1.6,v3 quantified/scenario rule
APOTHEOSIS,신성,Apotheosis,clause,1,Upgrade ALL your cards.,upgrade_all_cards,low,12.0,25.0,45.0,deck-wide upgrade count
APOTHEOSIS,신성,Apotheosis,keyword,,keyword_exhaust,keyword_exhaust,medium,-1.0,-1.0,-1.0,v1 keyword calibration
APOTHEOSIS,신성,Apotheosis,keyword,,keyword_innate,keyword_innate,medium,0.5,0.5,0.5,v1 keyword calibration
APPARITION,영체화,Apparition,clause,1,Gain 1 Intangible.,atomic_intangible,high,12.0,12.0,12.0,v3 quantified/scenario rule
APPARITION,영체화,Apparition,keyword,,keyword_exhaust,keyword_exhaust,medium,-1.0,-1.0,-1.0,v1 keyword calibration
APPARITION,영체화,Apparition,keyword,,keyword_ethereal,keyword_ethereal,medium,-1.0,-1.0,-1.0,v1 keyword calibration
ARMAMENTS,전투장비,Armaments,clause,1,Gain 5 Block.,atomic_fixed,high,3.0,3.0,3.0,v3 quantified/scenario rule
ARMAMENTS,전투장비,Armaments,clause,2,Upgrade a card in your Hand.,atomic_upgrade,medium,2.0,2.0,2.0,v3 quantified/scenario rule
ARSENAL,무기고,Arsenal,clause,1,"Whenever you create a card, gain 1 Strength.",atomic_fixed+event_triggers,medium,3.25,11.375,58.5,v3 quantified/scenario rule
ASCENDERS_BANE,등반자의 골칫거리,Ascender's Bane,keyword,,keyword_ethereal_cleanup,keyword_ethereal_cleanup,medium,1.0,1.0,1.0,removes harmful card
ASCENDERS_BANE,등반자의 골칫거리,Ascender's Bane,keyword,,keyword_unplayable,keyword_unplayable,medium,-2.0,-1.25,-0.75,draw/hand clog
ASCENDERS_BANE,등반자의 골칫거리,Ascender's Bane,keyword,,keyword_eternal_meta,keyword_eternal_meta,medium,-1.0,-1.0,-1.0,deck removal restriction
ASHEN_STRIKE,잿빛 타격,Ashen Strike,clause,1,Deal 6 damage.,atomic_fixed,high,3.0,3.0,3.0,v3 quantified/scenario rule
ASHEN_STRIKE,잿빛 타격,Ashen Strike,clause,2,Deals 3 additional damage for each card in your Exhaust Pile.,additional_damage_scaling,medium,1.5,3.3,15.0,damage unit × reference count
ASSASSINATE,암살,Assassinate,clause,1,Deal 10 damage.,atomic_fixed,high,5.0,5.0,5.0,v3 quantified/scenario rule
ASSASSINATE,암살,Assassinate,clause,2,Apply 1 Vulnerable.,atomic_fixed,medium,2.0,2.0,2.0,v3 quantified/scenario rule
ASSASSINATE,암살,Assassinate,keyword,,keyword_exhaust,keyword_exhaust,medium,-1.0,-1.0,-1.0,v1 keyword calibration
ASSASSINATE,암살,Assassinate,keyword,,keyword_innate,keyword_innate,medium,0.5,0.5,0.5,v1 keyword calibration
ASTRAL_PULSE,별의 파동,Astral Pulse,clause,1,Deal 6 damage to ALL enemies twice.,atomic_fixed,high,7.8,7.8,7.8,v3 quantified/scenario rule
ASTRAL_PULSE,별의 파동,Astral Pulse,printed_cost,,Spend 3 Stars to play this card,cost_star_spend,low,-6.0,-6.0,-6.0,printed Star payment: 3 × -2.0
ASTRAL_PULSE,별의 파동,Astral Pulse,interaction,,multi_hit_strength_synergy,multi_hit_strength_synergy,medium,0.0,0.25,0.75,V3 cross-effect interaction
AUTOMATION,자동화,Automation,clause,1,"Every 10 cards you draw, gain 1 Energy.",atomic_fixed+threshold_triggers,low,0.0,4.5,10.0,v3 quantified/scenario rule
BACKFLIP,공중제비,Backflip,clause,1,Gain 5 Block.,atomic_fixed,high,3.0,3.0,3.0,v3 quantified/scenario rule
BACKFLIP,공중제비,Backflip,clause,2,Draw 2 cards.,atomic_fixed,medium,3.4,3.4,3.4,v3 quantified/scenario rule
BACKSTAB,배신,Backstab,clause,1,Deal 11 damage.,atomic_fixed,high,5.5,5.5,5.5,v3 quantified/scenario rule
BACKSTAB,배신,Backstab,keyword,,keyword_exhaust,keyword_exhaust,medium,-1.0,-1.0,-1.0,v1 keyword calibration
BACKSTAB,배신,Backstab,keyword,,keyword_innate,keyword_innate,medium,0.5,0.5,0.5,v1 keyword calibration
BAD_LUCK,불운,Bad Luck,clause,1,"At the end of your turn, if this is in your Hand, lose 13 HP.",atomic_fixed+condition_probability+recurring_turns,medium,-42.9,-18.518,-0.0,v3 quantified/scenario rule
BAD_LUCK,불운,Bad Luck,keyword,,keyword_unplayable,keyword_unplayable,medium,-2.0,-1.25,-0.75,draw/hand clog
BAD_LUCK,불운,Bad Luck,keyword,,keyword_eternal_meta,keyword_eternal_meta,medium,-1.0,-1.0,-1.0,deck removal restriction
BALL_LIGHTNING,번개 구체,Ball Lightning,clause,1,Deal 7 damage.,atomic_fixed,high,3.5,3.5,3.5,v3 quantified/scenario rule
BALL_LIGHTNING,번개 구체,Ball Lightning,clause,2,Channel 1 Lightning.,atomic_fixed,medium,2.2,2.2,2.2,v3 quantified/scenario rule
BANSHEES_CRY,밴시의 외침,Banshee's Cry,clause,1,Deal 33 damage to ALL enemies.,atomic_fixed,high,21.45,21.45,21.45,v3 quantified/scenario rule
BANSHEES_CRY,밴시의 외침,Banshee's Cry,clause,2,Costs 2 Energy less for each Ethereal card played this combat.,cost_reduction_scaling_capped,medium,5.0,11.0,22.5,"energy saved × reference count, capped by printed cost"
BARRAGE,일제 사격,Barrage,clause,1,Deal 5 damage for each Channeled Orb.,atomic_fixed+scaling_count,medium,2.5,5.5,25.0,v3 quantified/scenario rule
BARRICADE,바리케이드,Barricade,clause,1,Block is not removed at the start of your turn.,retain_block_power,low,6.0,15.0,30.0,multi-turn carried Block
BASH,강타,Bash,clause,1,Deal 8 damage.,atomic_fixed,high,4.0,4.0,4.0,v3 quantified/scenario rule
BASH,강타,Bash,clause,2,Apply 2 Vulnerable.,atomic_fixed,medium,4.0,4.0,4.0,v3 quantified/scenario rule
BATTLE_TRANCE,전투 최면,Battle Trance,clause,1,Draw 3 cards.,atomic_fixed,medium,5.55,5.55,5.55,v3 quantified/scenario rule
BATTLE_TRANCE,전투 최면,Battle Trance,clause,2,You cannot draw additional cards this turn.,atomic_no_more_draw,low,-5.55,-3.4,0.0,v3 quantified/scenario rule
BEACON_OF_HOPE,희망의 등불,Beacon of Hope,clause,1,"Whenever you gain Block on your turn, other players gain half that much Block.",coop_share_half_block,low,0.9,4.5,18.0,shared Block × half × ally factor
BEAM_CELL,레이저 포인터,Beam Cell,clause,1,Deal 3 damage.,atomic_fixed,high,1.5,1.5,1.5,v3 quantified/scenario rule
