card_id,name_ko,name_en,pool,rarity,cost,type,score_low,score_baseline,score_high,score_width,confidence_score,confidence_grade,low_confidence_effects,fallback_effects,benchmark_v4,benchmark_method,benchmark_comparable,residual_low,residual_baseline,residual_high,rank_low_scenario,rank_baseline_scenario,rank_high_scenario,rank_span,rank_stability,rules,description_en
ABRASIVE,연마,Abrasive,silent,Rare,E3,Power,5.25,9.65,13.25,8.0,0.678,C,1,0,20.0,v3_table,False,,,,24,15,32,17,0.805,atomic_fixed|keyword_sly,Gain 1 Dexterity. Gain 4 Thorns.
ACCELERANT,촉진제,Accelerant,silent,Rare,E1,Power,2.0,6.0,15.0,13.0,0.42,C,1,0,6.5,v3_table,True,-4.5,-0.5,8.5,61,50,28,33,0.621,extra_poison_trigger,Poison is triggered 1 additional time.
ACCURACY,정밀,Accuracy,silent,Uncommon,E1,Power,2.0,8.0,20.0,18.0,0.42,C,1,0,6.5,v3_table,True,-4.5,1.5,13.5,62,26,16,46,0.471,shiv_damage_aura,Shivs deal 4 additional damage.
ACROBATICS,곡예,Acrobatics,silent,Uncommon,E1,Skill,5.8,5.8,5.8,0.0,0.743,B,0,0,6.5,v3_table,True,-0.7,-0.7,-0.7,20,54,68,48,0.448,atomic_fixed,Draw 3 cards. Discard 1 card.
ADAPTIVE_STRIKE,적응형 타격,Adaptive Strike,defect,Rare,E2,Attack,8.5,13.0,18.0,9.5,0.822,C,1,0,17.0,v3_table,True,-8.5,-4.0,1.0,14,10,29,19,0.782,atomic_fixed|copy_self_discard_zero,Deal 18 damage. Add a 0 Energy copy of this card into your Discard Pile.
ADRENALINE,아드레날린,Adrenaline,silent,Rare,E0,Skill,4.9,4.9,4.9,0.0,0.72,B,0,0,6.5,v3_table,True,-1.6,-1.6,-1.6,33,68,76,43,0.506,atomic_fixed|keyword_exhaust,Gain 1 Energy. Draw 2 cards.
AFTERIMAGE,잔상,Afterimage,silent,Rare,E1,Power,0.6,2.1,10.8,10.2,0.72,C,0,0,6.5,v3_table,True,-5.9,-4.4,4.3,76,85,43,42,0.517,atomic_fixed+event_triggers,"Whenever you play a card, gain 1 Block."
AFTERLIFE,내세,Afterlife,necrobinder,Common,E1,Skill,5.6,5.6,5.6,0.0,0.963,A,0,0,5.3,v3_table,True,0.3,0.3,0.3,29,54,68,39,0.552,atomic_fixed|keyword_exhaust,Summon 6.
AGGRESSION,공격성,Aggression,ironclad,Rare,E1,Power,3.0,12.0,24.0,21.0,0.42,C,1,0,6.5,v3_table,True,-3.5,5.5,17.5,57,16,22,41,0.523,recurring_upgraded_attack_retrieval,"At the start of your turn, put a random Attack from your Discard Pile into your Hand and Upgrade it."
ALCHEMIZE,연금,Alchemize,colorless,Rare,E1,Skill,2.0,6.0,11.0,9.0,0.458,C,1,0,9.0,v3_table,True,-7.0,-3.0,2.0,45,39,32,13,0.794,keyword_exhaust|meta_random_potion,Procure a random potion.
ALIGNMENT,정렬,Alignment,regent,Uncommon,E0+S3,Skill,-1.0,-1.0,-1.0,0.0,0.556,C,1,0,4.3,energy_table_star_cost_separated,True,-5.3,-5.3,-5.3,82,88,88,6,0.931,atomic_fixed|cost_star_spend,Gain 2 Energy.
ALL_FOR_ONE,하나를 위한 모두,All for One,defect,Rare,E2,Attack,8.0,12.0,19.0,11.0,0.662,C,1,0,17.0,v3_table,True,-9.0,-5.0,2.0,15,15,27,12,0.862,atomic_fixed|bulk_tutor_to_hand,Deal 10 damage. Put ALL 0 Energy cards from your Discard Pile into your Hand.
